No,Wavelet transform,easting,northing,within_10km,NSE_test,KGE_test,Pearson_r_test,Spearman_r_test,Mean_ratio_test,STD_ratio_test,Mean,Std
829,Annual,492225,115785,TRUE,-14.270383,0.102665246,0.8017857,0.725891182,0.7575671,0.15907964,105.0045851,6.685179462
834,Annual,505025,413865,FALSE,-299.71857,-0.3773048,0.5982168,0.622757202,0.32032886,2.1285348,24.8739213,0.979779809
839,Annual,420155,121255,TRUE,-402.3894,-6.479794,-0.07160265,-0.056726095,0.6628267,8.394964,35.74835213,0.662802885
841,Annual,450424,534735,FALSE,-12795.479,-16.801388,-0.33795863,-0.351392153,9.497231,16.585262,1.714488195,0.130255844
845,Annual,556450,127160,TRUE,-540.191,-8.135264,0.50125515,0.468385835,7.720853,7.1672263,1.802426352,0.543923709
848,Multiannual,459275,83955,TRUE,-1890.393,-0.43726993,0.035151605,-0.098849871,0.06678266,0.4862715,30.65664889,0.658043726
859,Multiannual,499825,119865,TRUE,-26.318678,-0.15728736,-0.041368283,-0.018365275,0.6293659,0.6572228,17.31612791,1.262740882
874,Annual,523534,109306,TRUE,-129.39333,0.05077672,0.24017811,0.155935645,1.5135176,0.7550611,43.28240865,1.95550752
875,Annual,593230,336904,FALSE,-1008.3821,0.27566832,0.8632887,0.85024059,0.40961602,1.3967578,16.73738573,0.311107475
890,Decadal,434770,529240,FALSE,-89.22881,-1.8061321,0.07659174,0.112066507,0.92600447,3.6488261,37.75045226,0.319426611
900,Annual,624070,143381,TRUE,-9.3079405,0.37048095,0.8777957,0.862816131,0.68507504,0.46879143,52.46110156,5.247853956
901,Multiannual,496495,163345,FALSE,-29.733116,0.3689909,0.5961586,0.586210868,0.74077064,0.59026456,6.450939569,0.304864626
902,Annual,538051,134071,TRUE,-123.97903,-6.4006763,0.686826,0.71259271,8.311157,2.1041517,0.529669681,0.349966186
912,Annual,380005,265485,TRUE,-2.0083668,0.4825502,0.655208,0.606066823,1.1337638,1.3619128,11.24074729,1.080016475
933,Annual,393077,187787,TRUE,-3290.1882,-16.269426,0.21835575,0.185181136,17.88493,4.538583,1.956762211,0.577642309
947,Annual,591390,150250,TRUE,-218.37274,-11.787617,0.091880985,0.131107157,1.0845186,13.755096,19.90448989,0.298806284
948,Annual,591385,150264,TRUE,-3849.2236,-29.05228,-0.42034593,-0.409121255,1.9656056,31.00325,19.96767267,0.360409134
